dprt_grid,arrvl_grid,dprt_time_60min,median_tt,n
146,251,2017-03-02T00:00:00Z,10.8,17
146,253,2017-03-02T00:00:00Z,6.35,12
146,257,2017-03-02T00:00:00Z,11.2666666666667,11
146,258,2017-03-02T00:00:00Z,15.6333333333333,6
146,260,2017-03-02T00:00:00Z,10.55,9
146,266,2017-03-02T00:00:00Z,10.1916666666667,2
146,268,2017-03-02T00:00:00Z,11.95,11
146,318,2017-03-02T00:00:00Z,3.31666666666667,94
146,320,2017-03-02T00:00:00Z,11.5333333333333,23
146,375,2017-03-02T00:00:00Z,9.23333333333333,23
146,391,2017-03-02T00:00:00Z,7.48333333333333,58
146,395,2017-03-02T00:00:00Z,10.3333333333333,21
146,400,2017-03-02T00:00:00Z,5.83333333333333,128
146,424,2017-03-02T00:00:00Z,9.41666666666667,69
146,442,2017-03-02T00:00:00Z,6.73333333333333,71
146,459,2017-03-02T00:00:00Z,9.3,33
146,464,2017-03-02T00:00:00Z,4.5,102
146,465,2017-03-02T00:00:00Z,6.55,137
146,468,2017-03-02T00:00:00Z,8.31666666666667,37
154,61,2017-03-02T00:00:00Z,4.11666666666667,71
154,105,2017-03-02T00:00:00Z,11.2666666666667,8
154,136,2017-03-02T00:00:00Z,11.9583333333333,6
154,146,2017-03-02T00:00:00Z,2.75833333333333,26
154,168,2017-03-02T00:00:00Z,11.6583333333333,8
154,184,2017-03-02T00:00:00Z,8.33333333333333,22
154,189,2017-03-02T00:00:00Z,16.2,5
154,190,2017-03-02T00:00:00Z,8.425,8
154,191,2017-03-02T00:00:00Z,9.43333333333333,3
154,194,2017-03-02T00:00:00Z,7.94166666666667,4
154,196,2017-03-02T00:00:00Z,7.85,8
154,199,2017-03-02T00:00:00Z,11.5083333333333,8
154,206,2017-03-02T00:00:00Z,15.2833333333333,3
154,225,2017-03-02T00:00:00Z,6.05,7
154,229,2017-03-02T00:00:00Z,11.3666666666667,9
154,230,2017-03-02T00:00:00Z,9.8,9
154,231,2017-03-02T00:00:00Z,12.9166666666667,12
154,233,2017-03-02T00:00:00Z,6.21666666666667,11
154,240,2017-03-02T00:00:00Z,11.325,8
154,241,2017-03-02T00:00:00Z,12.1833333333333,13
154,245,2017-03-02T00:00:00Z,12.7166666666667,18
154,246,2017-03-02T00:00:00Z,16.9833333333333,5
154,251,2017-03-02T00:00:00Z,11.3166666666667,9
154,253,2017-03-02T00:00:00Z,9.025,2
154,257,2017-03-02T00:00:00Z,14.4333333333333,5
154,258,2017-03-02T00:00:00Z,13.6333333333333,1
154,260,2017-03-02T00:00:00Z,10.6833333333333,7
154,268,2017-03-02T00:00:00Z,12.9333333333333,7
154,318,2017-03-02T00:00:00Z,4.18333333333333,40
154,320,2017-03-02T00:00:00Z,13.025,10
154,375,2017-03-02T00:00:00Z,9.4,20
154,391,2017-03-02T00:00:00Z,7.9,25
154,395,2017-03-02T00:00:00Z,9.30833333333333,8
154,400,2017-03-02T00:00:00Z,5.71666666666667,63
154,424,2017-03-02T00:00:00Z,8.63333333333333,39
154,442,2017-03-02T00:00:00Z,6.21666666666667,39
154,459,2017-03-02T00:00:00Z,11.45,12
154,464,2017-03-02T00:00:00Z,3.81666666666667,105
154,465,2017-03-02T00:00:00Z,6.68333333333333,51
154,468,2017-03-02T00:00:00Z,7.54166666666667,12
168,61,2017-03-02T00:00:00Z,6.05,13
168,105,2017-03-02T00:00:00Z,3.68333333333333,21
168,136,2017-03-02T00:00:00Z,4.05,18
168,146,2017-03-02T00:00:00Z,7.88333333333333,4
168,154,2017-03-02T00:00:00Z,8.925,6
168,184,2017-03-02T00:00:00Z,9.725,6
168,189,2017-03-02T00:00:00Z,14.5083333333333,2
168,190,2017-03-02T00:00:00Z,10.6916666666667,2
168,191,2017-03-02T00:00:00Z,9.15,7
168,196,2017-03-02T00:00:00Z,14.7666666666667,5
168,199,2017-03-02T00:00:00Z,10.7166666666667,7
168,225,2017-03-02T00:00:00Z,6.2,1
168,229,2017-03-02T00:00:00Z,10.6416666666667,6
168,230,2017-03-02T00:00:00Z,16.8166666666667,4
168,231,2017-03-02T00:00:00Z,11.9916666666667,12
168,233,2017-03-02T00:00:00Z,8.28333333333333,2
168,240,2017-03-02T00:00:00Z,223.425,2
168,241,2017-03-02T00:00:00Z,9.48333333333333,9
168,245,2017-03-02T00:00:00Z,8.56666666666667,8
168,251,2017-03-02T00:00:00Z,15.6833333333333,3
168,257,2017-03-02T00:00:00Z,12.8166666666667,1
168,258,2017-03-02T00:00:00Z,11.7666666666667,3
168,268,2017-03-02T00:00:00Z,14.3166666666667,4
168,320,2017-03-02T00:00:00Z,6.44166666666667,14
168,375,2017-03-02T00:00:00Z,5.14166666666667,14
168,391,2017-03-02T00:00:00Z,8.38333333333333,9
168,395,2017-03-02T00:00:00Z,5.36666666666667,10
168,400,2017-03-02T00:00:00Z,9.13333333333333,6
168,424,2017-03-02T00:00:00Z,5.08333333333333,59
168,442,2017-03-02T00:00:00Z,6.46666666666667,11
168,459,2017-03-02T00:00:00Z,2.71666666666667,17
168,464,2017-03-02T00:00:00Z,7.3,17
168,465,2017-03-02T00:00:00Z,4.91666666666667,33
168,468,2017-03-02T00:00:00Z,4.06666666666667,16
184,61,2017-03-02T00:00:00Z,7.625,8
184,105,2017-03-02T00:00:00Z,11.0333333333333,3
184,136,2017-03-02T00:00:00Z,7.28333333333333,1
184,154,2017-03-02T00:00:00Z,11,7
184,168,2017-03-02T00:00:00Z,10.0666666666667,3
184,189,2017-03-02T00:00:00Z,8.25833333333333,10
184,190,2017-03-02T00:00:00Z,4.68333333333333,25
184,191,2017-03-02T00:00:00Z,3.48333333333333,11
184,194,2017-03-02T00:00:00Z,12.0583333333333,2
184,196,2017-03-02T00:00:00Z,7.03333333333333,25
184,199,2017-03-02T00:00:00Z,4.56666666666667,33
184,206,2017-03-02T00:00:00Z,8.93333333333333,3
184,225,2017-03-02T00:00:00Z,3.40833333333333,8
184,229,2017-03-02T00:00:00Z,2.93333333333333,31
184,230,2017-03-02T00:00:00Z,9.85,8
184,231,2017-03-02T00:00:00Z,5.375,38
184,233,2017-03-02T00:00:00Z,5.81666666666667,5
184,240,2017-03-02T00:00:00Z,6.03333333333333,7
184,241,2017-03-02T00:00:00Z,5.08333333333333,13
184,245,2017-03-02T00:00:00Z,5.26666666666667,12
184,246,2017-03-02T00:00:00Z,8.29166666666667,6
184,251,2017-03-02T00:00:00Z,8.5,12
184,253,2017-03-02T00:00:00Z,5.31666666666667,1
184,257,2017-03-02T00:00:00Z,12.8583333333333,4
184,258,2017-03-02T00:00:00Z,7.1,8
184,260,2017-03-02T00:00:00Z,6,8
184,266,2017-03-02T00:00:00Z,7.75,3
184,268,2017-03-02T00:00:00Z,8.38333333333333,19
184,318,2017-03-02T00:00:00Z,5.96666666666667,1
184,320,2017-03-02T00:00:00Z,7.21666666666667,17
184,375,2017-03-02T00:00:00Z,5.5,15
184,391,2017-03-02T00:00:00Z,4.81666666666667,37
184,395,2017-03-02T00:00:00Z,4.16666666666667,17
184,400,2017-03-02T00:00:00Z,6.9,14
184,424,2017-03-02T00:00:00Z,6.55,21
184,442,2017-03-02T00:00:00Z,5.76666666666667,11
184,459,2017-03-02T00:00:00Z,6.5,3
184,464,2017-03-02T00:00:00Z,7.64166666666667,12
184,465,2017-03-02T00:00:00Z,7.46666666666667,13
184,468,2017-03-02T00:00:00Z,9.66666666666667,5
189,61,2017-03-02T00:00:00Z,13.6,6
189,105,2017-03-02T00:00:00Z,12.95,9
189,136,2017-03-02T00:00:00Z,12.5666666666667,2
189,146,2017-03-02T00:00:00Z,13.0333333333333,3
189,154,2017-03-02T00:00:00Z,16.75,1
189,168,2017-03-02T00:00:00Z,19.1416666666667,2
189,184,2017-03-02T00:00:00Z,8.3,5
189,190,2017-03-02T00:00:00Z,9.475,12
189,191,2017-03-02T00:00:00Z,6.48333333333333,5
189,194,2017-03-02T00:00:00Z,13.875,4
189,196,2017-03-02T00:00:00Z,9.85,17
189,199,2017-03-02T00:00:00Z,6.61666666666667,14
189,206,2017-03-02T00:00:00Z,4.68333333333333,11
189,225,2017-03-02T00:00:00Z,7.26666666666667,1
189,229,2017-03-02T00:00:00Z,6.48333333333333,19
189,230,2017-03-02T00:00:00Z,11.2666666666667,11
189,231,2017-03-02T00:00:00Z,4.36666666666667,70
189,233,2017-03-02T00:00:00Z,10.0166666666667,24
189,240,2017-03-02T00:00:00Z,7.93333333333333,15
189,241,2017-03-02T00:00:00Z,5.79166666666667,22
189,245,2017-03-02T00:00:00Z,6.06666666666667,11
189,246,2017-03-02T00:00:00Z,3.45,27
189,251,2017-03-02T00:00:00Z,9.35833333333333,14
189,253,2017-03-02T00:00:00Z,10.6333333333333,3
189,257,2017-03-02T00:00:00Z,11.475,6
189,258,2017-03-02T00:00:00Z,3.01666666666667,30
189,260,2017-03-02T00:00:00Z,5.225,10
189,266,2017-03-02T00:00:00Z,10.2833333333333,1
189,268,2017-03-02T00:00:00Z,7.84166666666667,26
189,318,2017-03-02T00:00:00Z,15.6,1
189,320,2017-03-02T00:00:00Z,9.1,13
189,375,2017-03-02T00:00:00Z,8.46666666666667,3
189,391,2017-03-02T00:00:00Z,9.225,6
189,395,2017-03-02T00:00:00Z,239.691666666667,2
189,400,2017-03-02T00:00:00Z,12.3833333333333,3
189,424,2017-03-02T00:00:00Z,13.1166666666667,10
189,442,2017-03-02T00:00:00Z,12,8
189,459,2017-03-02T00:00:00Z,9.55,3
189,464,2017-03-02T00:00:00Z,15.8083333333333,6
189,465,2017-03-02T00:00:00Z,16.6833333333333,9
189,468,2017-03-02T00:00:00Z,24.15,1
190,61,2017-03-02T00:00:00Z,9.41666666666667,10
190,105,2017-03-02T00:00:00Z,11.975,2
190,136,2017-03-02T00:00:00Z,11.925,2
190,146,2017-03-02T00:00:00Z,8.11666666666667,1
190,154,2017-03-02T00:00:00Z,9.76666666666667,1
190,184,2017-03-02T00:00:00Z,4.48333333333333,9
190,189,2017-03-02T00:00:00Z,7.55,9
190,191,2017-03-02T00:00:00Z,6.06666666666667,2
190,194,2017-03-02T00:00:00Z,4.30833333333333,22
190,196,2017-03-02T00:00:00Z,4.08333333333333,39
190,199,2017-03-02T00:00:00Z,4.56666666666667,5
190,206,2017-03-02T00:00:00Z,7.5,1
190,225,2017-03-02T00:00:00Z,4.91666666666667,5
190,229,2017-03-02T00:00:00Z,3.18333333333333,23
190,230,2017-03-02T00:00:00Z,6.24166666666667,12
190,231,2017-03-02T00:00:00Z,6.575,26
190,233,2017-03-02T00:00:00Z,4.025,8
190,240,2017-03-02T00:00:00Z,3.96666666666667,25
190,241,2017-03-02T00:00:00Z,9.10833333333333,4
190,245,2017-03-02T00:00:00Z,8.4,4
190,246,2017-03-02T00:00:00Z,6.46666666666667,5
190,251,2017-03-02T00:00:00Z,6.71666666666667,24
190,253,2017-03-02T00:00:00Z,3.79166666666667,8
190,257,2017-03-02T00:00:00Z,9.41666666666667,12
190,258,2017-03-02T00:00:00Z,7.6,4
190,260,2017-03-02T00:00:00Z,3.35,8
190,268,2017-03-02T00:00:00Z,5.96666666666667,21
190,320,2017-03-02T00:00:00Z,9.73333333333333,4
190,375,2017-03-02T00:00:00Z,7.78333333333333,6
190,391,2017-03-02T00:00:00Z,5.71666666666667,9
190,395,2017-03-02T00:00:00Z,5.7,5
190,400,2017-03-02T00:00:00Z,6.78333333333333,11
190,424,2017-03-02T00:00:00Z,7.78333333333333,7
190,442,2017-03-02T00:00:00Z,8.41666666666667,5
190,459,2017-03-02T00:00:00Z,8.38333333333333,2
190,464,2017-03-02T00:00:00Z,12.1333333333333,5
190,465,2017-03-02T00:00:00Z,10.6,7
190,468,2017-03-02T00:00:00Z,9.78333333333333,4
191,61,2017-03-02T00:00:00Z,6.75833333333333,14
191,105,2017-03-02T00:00:00Z,9.66666666666667,6
191,136,2017-03-02T00:00:00Z,5.73333333333333,14
191,146,2017-03-02T00:00:00Z,11.0166666666667,5
191,154,2017-03-02T00:00:00Z,10.55,24
191,168,2017-03-02T00:00:00Z,6.48333333333333,15
191,184,2017-03-02T00:00:00Z,3.68333333333333,39
191,189,2017-03-02T00:00:00Z,8.25,2
191,190,2017-03-02T00:00:00Z,5.7,7
191,194,2017-03-02T00:00:00Z,10.0666666666667,4
191,196,2017-03-02T00:00:00Z,8.96666666666667,16
191,199,2017-03-02T00:00:00Z,3.475,34
191,206,2017-03-02T00:00:00Z,8.475,6
191,225,2017-03-02T00:00:00Z,5.79166666666667,4
191,229,2017-03-02T00:00:00Z,4.30833333333333,64
191,230,2017-03-02T00:00:00Z,11.1333333333333,19
191,231,2017-03-02T00:00:00Z,5.05833333333333,48
191,233,2017-03-02T00:00:00Z,8.83333333333333,7
191,240,2017-03-02T00:00:00Z,7.51666666666667,9
191,241,2017-03-02T00:00:00Z,3.86666666666667,20
191,245,2017-03-02T00:00:00Z,3.1,26
191,246,2017-03-02T00:00:00Z,9.95,5
191,251,2017-03-02T00:00:00Z,10.7083333333333,6
191,253,2017-03-02T00:00:00Z,8.09166666666667,8
191,257,2017-03-02T00:00:00Z,13.1916666666667,4
191,258,2017-03-02T00:00:00Z,5.85833333333333,12
191,260,2017-03-02T00:00:00Z,6.98333333333333,12
191,268,2017-03-02T00:00:00Z,8.30833333333333,14
191,318,2017-03-02T00:00:00Z,7.54166666666667,2
191,320,2017-03-02T00:00:00Z,4.76666666666667,43
191,375,2017-03-02T00:00:00Z,4.2,53
191,391,2017-03-02T00:00:00Z,5.65,31
191,395,2017-03-02T00:00:00Z,3.71666666666667,30
191,400,2017-03-02T00:00:00Z,8.025,14
191,424,2017-03-02T00:00:00Z,7.25,40
191,442,2017-03-02T00:00:00Z,6.1,30
191,459,2017-03-02T00:00:00Z,5.60833333333333,38
191,464,2017-03-02T00:00:00Z,7.46666666666667,21
191,465,2017-03-02T00:00:00Z,6.75,37
191,468,2017-03-02T00:00:00Z,8.4,21
194,61,2017-03-02T00:00:00Z,8.83333333333333,7
194,105,2017-03-02T00:00:00Z,18.1166666666667,1
194,136,2017-03-02T00:00:00Z,15.3833333333333,1
194,154,2017-03-02T00:00:00Z,7.49166666666667,2
194,168,2017-03-02T00:00:00Z,14.4666666666667,1
194,184,2017-03-02T00:00:00Z,5,1
194,190,2017-03-02T00:00:00Z,5.25,4
194,191,2017-03-02T00:00:00Z,7.71666666666667,2
194,196,2017-03-02T00:00:00Z,5.31666666666667,27
194,199,2017-03-02T00:00:00Z,10.7666666666667,4
194,225,2017-03-02T00:00:00Z,7.43333333333333,3
194,229,2017-03-02T00:00:00Z,8.25833333333333,6
194,230,2017-03-02T00:00:00Z,5.65,22
194,231,2017-03-02T00:00:00Z,8.81666666666667,11
194,233,2017-03-02T00:00:00Z,3.65,3
194,240,2017-03-02T00:00:00Z,5.98333333333333,13
194,241,2017-03-02T00:00:00Z,12.6,2
194,245,2017-03-02T00:00:00Z,14.55,1
194,246,2017-03-02T00:00:00Z,10.05,3
194,251,2017-03-02T00:00:00Z,6.19166666666667,16
194,253,2017-03-02T00:00:00Z,3.29166666666667,4
194,257,2017-03-02T00:00:00Z,5.6,13
194,260,2017-03-02T00:00:00Z,6.78333333333333,2
194,268,2017-03-02T00:00:00Z,6.78333333333333,5
194,318,2017-03-02T00:00:00Z,9.23333333333333,2
194,320,2017-03-02T00:00:00Z,11.3166666666667,3
194,375,2017-03-02T00:00:00Z,8.55,8
194,391,2017-03-02T00:00:00Z,9.11666666666667,2
194,395,2017-03-02T00:00:00Z,12.2,1
194,400,2017-03-02T00:00:00Z,7.26666666666667,6
194,424,2017-03-02T00:00:00Z,12.8166666666667,5
194,442,2017-03-02T00:00:00Z,8.49166666666667,4
194,459,2017-03-02T00:00:00Z,11.6666666666667,1
194,464,2017-03-02T00:00:00Z,8.81666666666667,2
194,465,2017-03-02T00:00:00Z,14.5,3
194,468,2017-03-02T00:00:00Z,16.25,1
196,61,2017-03-02T00:00:00Z,11.3833333333333,70
196,105,2017-03-02T00:00:00Z,14.7333333333333,9
196,136,2017-03-02T00:00:00Z,12.7666666666667,11
196,146,2017-03-02T00:00:00Z,9.1,14
196,154,2017-03-02T00:00:00Z,9.36666666666667,27
196,168,2017-03-02T00:00:00Z,12.775,6
196,184,2017-03-02T00:00:00Z,5.41666666666667,51
196,189,2017-03-02T00:00:00Z,9.425,22
196,190,2017-03-02T00:00:00Z,4.00833333333333,74
196,191,2017-03-02T00:00:00Z,8,23
196,194,2017-03-02T00:00:00Z,4.725,112
196,199,2017-03-02T00:00:00Z,8.01666666666667,43
196,206,2017-03-02T00:00:00Z,5.38333333333333,45
196,225,2017-03-02T00:00:00Z,6.18333333333333,21
196,229,2017-03-02T00:00:00Z,5.025,62
196,230,2017-03-02T00:00:00Z,3.925,198
196,231,2017-03-02T00:00:00Z,7.73333333333333,101
196,233,2017-03-02T00:00:00Z,4.94166666666667,36
196,240,2017-03-02T00:00:00Z,3.10833333333333,114
196,241,2017-03-02T00:00:00Z,9.04166666666667,10
196,245,2017-03-02T00:00:00Z,9.46666666666667,35
196,246,2017-03-02T00:00:00Z,9.09166666666667,20
196,251,2017-03-02T00:00:00Z,4.55,189
196,253,2017-03-02T00:00:00Z,4.05,54
196,257,2017-03-02T00:00:00Z,5.58333333333333,170
196,258,2017-03-02T00:00:00Z,8.8,18
196,260,2017-03-02T00:00:00Z,4.53333333333333,62
196,266,2017-03-02T00:00:00Z,6.68333333333333,7
196,268,2017-03-02T00:00:00Z,4.51666666666667,118
196,318,2017-03-02T00:00:00Z,6.575,22
196,320,2017-03-02T00:00:00Z,11.4666666666667,28
196,375,2017-03-02T00:00:00Z,8.50833333333333,52
196,391,2017-03-02T00:00:00Z,8.5,41
196,395,2017-03-02T00:00:00Z,8.98333333333333,29
196,400,2017-03-02T00:00:00Z,6.75833333333333,82
196,424,2017-03-02T00:00:00Z,10.425,36
196,442,2017-03-02T00:00:00Z,9.8,44
196,459,2017-03-02T00:00:00Z,10.9666666666667,27
196,464,2017-03-02T00:00:00Z,10.4583333333333,52
196,465,2017-03-02T00:00:00Z,12.9166666666667,57
196,468,2017-03-02T00:00:00Z,13.2333333333333,12
199,61,2017-03-02T00:00:00Z,9.325,26
199,105,2017-03-02T00:00:00Z,10.3333333333333,17
199,136,2017-03-02T00:00:00Z,8.86666666666667,16
199,146,2017-03-02T00:00:00Z,12.35,6
199,154,2017-03-02T00:00:00Z,10.8666666666667,19
199,168,2017-03-02T00:00:00Z,10.0166666666667,13
199,184,2017-03-02T00:00:00Z,4.53333333333333,62
199,189,2017-03-02T00:00:00Z,5.58333333333333,32
199,190,2017-03-02T00:00:00Z,6.1,35
199,191,2017-03-02T00:00:00Z,3.85,39
199,194,2017-03-02T00:00:00Z,9.73333333333333,13
199,196,2017-03-02T00:00:00Z,8.98333333333333,38
199,206,2017-03-02T00:00:00Z,5.81666666666667,16
199,225,2017-03-02T00:00:00Z,6.9,17
199,229,2017-03-02T00:00:00Z,3.84166666666667,86
199,230,2017-03-02T00:00:00Z,12.575,14
199,231,2017-03-02T00:00:00Z,3.375,108
199,233,2017-03-02T00:00:00Z,7.14166666666667,12
199,240,2017-03-02T00:00:00Z,7.33333333333333,21
199,241,2017-03-02T00:00:00Z,3.46666666666667,37
199,245,2017-03-02T00:00:00Z,4.7,49
199,246,2017-03-02T00:00:00Z,5.875,16
199,251,2017-03-02T00:00:00Z,10.275,26
199,253,2017-03-02T00:00:00Z,8.66666666666667,13
199,257,2017-03-02T00:00:00Z,12.2166666666667,19
199,258,2017-03-02T00:00:00Z,4.41666666666667,45
199,260,2017-03-02T00:00:00Z,4.11666666666667,25
